Potential,Ligand,Scan_rate
0.985,BISBI,0.05
0.993,BISBI,0.1
1.03,BISBI,0.25
1.0525,BISBI,0.5
1.094,BISBI,1
1.113,BISBI,2
1.227,dcype,0.05
1.238,dcype,0.1
1.28,dcype,0.25
1.313,dcype,0.5
1.325,dcype,1
1.381,dcype,2
1.145,PAd2Bu,0.05
1.165,PAd2Bu,0.1
1.191,PAd2Bu,0.25
1.214,PAd2Bu,0.5
1.243,PAd2Bu,1
1.3,PAd2Bu,2
1.066,PMes3,0.05
1.08,PMes3,0.1
1.13,PMes3,0.25
1.175,PMes3,0.5
1.23,PMes3,1
1.297,PMes3,2
1.2,PoTol3,0.05
1.227,PoTol3,0.1
1.257,PoTol3,0.25
1.28,PoTol3,0.5
1.314,PoTol3,1
1.352,PoTol3,2
1.45,PtBu3,0.1
1.498,PtBu3,0.25
1.525,PtBu3,0.5
1.59,PtBu3,1
1.659,PtBu3,2
