time_s,Pd_II_integral,Internal_standard_mass_mg,Sample,Backbone,Temperature_C
0,1.789,3,S1,F4-NMs-Ph,25
780,1.463,3,S1,F4-NMs-Ph,25
1860,1.379,3,S1,F4-NMs-Ph,25
3420,1.06,3,S1,F4-NMs-Ph,25
5040,0.835,3,S1,F4-NMs-Ph,25
7260,0.762,3,S1,F4-NMs-Ph,25
8580,0.57,3,S1,F4-NMs-Ph,25
10920,0.544,3,S1,F4-NMs-Ph,25
12660,0.494,3,S1,F4-NMs-Ph,25
13740,0.461,3,S1,F4-NMs-Ph,25
15180,0.406,3,S1,F4-NMs-Ph,25
16440,0.386,3,S1,F4-NMs-Ph,25
18240,0.337,3,S1,F4-NMs-Ph,25
19500,0.245,3,S1,F4-NMs-Ph,25
20820,0.229,3,S1,F4-NMs-Ph,25
22260,0.215,3,S1,F4-NMs-Ph,25
0,1.962,2.8,S2,F4-NMs-Ph,25
1560,1.758,2.8,S2,F4-NMs-Ph,25
3060,1.386,2.8,S2,F4-NMs-Ph,25
5520,1.148,2.8,S2,F4-NMs-Ph,25
6000,1.031,2.8,S2,F4-NMs-Ph,25
8160,0.968,2.8,S2,F4-NMs-Ph,25
9960,0.729,2.8,S2,F4-NMs-Ph,25
11460,0.69,2.8,S2,F4-NMs-Ph,25
14340,0.529,2.8,S2,F4-NMs-Ph,25
14940,0.502,2.8,S2,F4-NMs-Ph,25
16320,0.461,2.8,S2,F4-NMs-Ph,25
