Structure;Result Type;Buried Volume
bisbi;max;58.7
bisbi;boltz;58.69539246437934
bisbi;min;56.1
cata;max;41.9
cata;boltz;40.97571471098589
cata;min;40.4
darfpe;max;56.8
darfpe;boltz;56.1776477307963
darfpe;min;54.0
dcype;max;56.2
dcype;boltz;54.89992555723158
dcype;min;52.7
dppe;max;51.8
dppe;boltz;50.75847717140248
dppe;min;49.0
neopentyl;max;46.9
neopentyl;boltz;46.485051631178806
neopentyl;min;19.0
pmes3;max;49.2
pmes3;boltz;46.8762512400612
pmes3;min;44.7
ptbu3;max;42.6
ptbu3;boltz;42.242809189590844
ptbu3;min;41.9
ptol3;max;46.6
ptol3;boltz;44.56125094047705
ptol3;min;35.7
tbu2cy-thf;max;53.5
tbu2cy-thf;boltz;47.39233552210372
tbu2cy-thf;min;46.8
tbu2cy;max;41.3
tbu2cy;boltz;41.29970180919015
tbu2cy;min;39.7
